ID: 1 | Type: Truck | Model: KamAZ-5490 | Capacity: 20 | Available: 4 | Status: Booked
ID: 2 | Type: Truck | Model: VolvoFH16 | Capacity: 25 | Available: 3 | Status: Available
ID: 3 | Type: Passenger | Model: MercedesSprinter | Capacity: 8 | Available: 2 | Status: Available
ID: 4 | Type: Passenger | Model: FordTransit | Capacity: 6 | Available: 3 | Status: Booked
ID: 5 | Type: Truck | Model: MANTGX | Capacity: 18 | Available: 2 | Status: Available
ID: 6 | Type: Passenger | Model: VolkswagenCrafter | Capacity: 9 | Available: 3 | Status: Available
ID: 7 | Type: Truck | Model: ScaniaR500 | Capacity: 22 | Available: 1 | Status: Available
ID: 8 | Type: Passenger | Model: PeugeotBoxer | Capacity: 7 | Available: 5 | Status: Available
ID: 9 | Type: Truck | Model: IvecoS-Way | Capacity: 19 | Available: 4 | Status: Available
ID: 10 | Type: Passenger | Model: CitroenJumper | Capacity: 8 | Available: 2 | Status: Available
ID: 11 | Type: Truck | Model: DAFXF | Capacity: 21 | Available: 3 | Status: Available
ID: 12 | Type: Passenger | Model: FiatDucato | Capacity: 6 | Available: 3 | Status: Available
ID: 13 | Type: Truck | Model: RenaultT | Capacity: 17 | Available: 2 | Status: Available
ID: 14 | Type: Passenger | Model: ToyotaHiace | Capacity: 5 | Available: 4 | Status: Available
ID: 15 | Type: Truck | Model: MAZ-6430 | Capacity: 23 | Available: 1 | Status: Available
ID: 16 | Type: Passenger | Model: NissanNV400 | Capacity: 7 | Available: 2 | Status: Available
ID: 17 | Type: Truck | Model: GAZonNEXT | Capacity: 15 | Available: 5 | Status: Available
ID: 18 | Type: Passenger | Model: HyundaiH350 | Capacity: 6 | Available: 3 | Status: Available
ID: 19 | Type: Truck | Model: Ural-6370 | Capacity: 14 | Available: 2 | Status: Available
ID: 20 | Type: Passenger | Model: KiaBongo | Capacity: 5 | Available: 4 | Status: Available
ID: 21 | Type: Truck | Model: ZIL-4331 | Capacity: 12 | Available: 3 | Status: Available
ID: 22 | Type: Passenger | Model: RenaultMaster | Capacity: 7 | Available: 2 | Status: Available
ID: 23 | Type: Truck | Model: BelAZ-75710 | Capacity: 360 | Available: 1 | Status: Available
ID: 24 | Type: Passenger | Model: LadaLargus | Capacity: 5 | Available: 5 | Status: Available
ID: 25 | Type: Truck | Model: Caterpillar797F | Capacity: 400 | Available: 1 | Status: Available
ID: 26 | Type: Passenger | Model: GazelleNext | Capacity: 4 | Available: 6 | Status: Available
ID: 27 | Type: Truck | Model: Komatsu830E | Capacity: 300 | Available: 1 | Status: Available
ID: 28 | Type: Passenger | Model: UAZ-452 | Capacity: 4 | Available: 3 | Status: Available
ID: 29 | Type: Truck | Model: TatraPhoenix | Capacity: 28 | Available: 2 | Status: Available
ID: 30 | Type: Passenger | Model: PAZ-3205 | Capacity: 25 | Available: 1 | Status: Available
